"Parent","Child"
"Emeline","Emiline"
"Fidelia","Adelaide"
"Hannah","Joanna"
"Helena","Nell"
"Hepsabah","Elizabeth"
"Honora","Eleanor"
"Isabella","Sabra"
"Jane","Virginia"
"Jefferson","Jeffery"
"Jehu","John"
"Jessica","Virginia"
"Joanna","Johannah"
"John","Jaques"
"Jonathan","John"
"Lavinia","Louvinia"
"Leonora","Eleanor"
"Linda","Lidia"
"Luann","Anne"
"Lousie","Lulu"
"Luciana","Cynthia"
"Lucinda","Cynthia"
"Madeline","Madeleine"
"Magdelina","Madeline"
"Margaret","Meg"
"Marylou","Louise"
"Mehitabel","Amabel"
"Robert","Hob"
"Rodney","Ronald"
"Ronald","Roland"
"Rosabella","Isabella"
"Rosalyn","Rosabella"
"Rudolphus","Olph"
"Samuel","Samson"
"Sharon","Sheryn"
"Sylvester","Silvester"
"Tryphena","Tryphosia"
"Wilber","Gilbert"
"William","Wilhelm"
"Zedediah","Obediah"
"Adaline","Adelaide"
"Adelaide","Adeliza"
"Aileen","Helen"
"Alexandria","Cassandra"
"Amelia","Permelia"
"Anna","Nana"
"Augusta","Augusta"
"Barbara","Bar"
"Bedelia","Cordelia"
"Belinda","Melinda"
"Caroline","Lena"
"Christiana","Cristina"
"Dorothy","Doda"
"Eleanor","Nora"
"Elizabeth","Liza"
"Emeline","Erma"
"Hannah","Susannah"
"Hepsabah","Rosabella"
"Jane","Janette"
"Joanna","Hannah"
"John","Jock"
"Katherine","Kit"
"Lousie","Louisa"
"Margaret","Metta"
"Obadiah","Jedediah"
"Robert","Hobkin"
"Roland","Roland"
"Ronald","Reginald"
"Rosabella","Roseanne"
"Rosalyn","Roseanne"
"Rudolphus","Adolphus"
"Sabrina","Selina"
"Sharon","Sheryl"
"Sylvester","Sylvanus"
"Theresa","Thriza"
"Virginia","Gina"
"William","Willis"
"Adelaide","Liza"
"Alexandria","Cass"
"Alice","Alisha"
"Anna","Susanna"
"Bedelia","Adelaide"
"Belinda","Linda"
"Caroline","Orolia"
"Christiana","Cris"
"Clarissa","Belinda"
"Dorothy","Dora"
"Elizabeth","Lizabeth"
"Emeline","Emm"
"Genevieve","Jane"
"Hannah","Anna"
"Helena","Helene"
"Henry","Harold"
"Isabella","Isabel"
"Jane","Jean"
"Joanna","Joann"
"Katherine","Kay"
"Lousie","Louetta"
"Margaret","Midge"
"Marianna","Mary"
"Maryanne","Mary"
"Melinda","Belinda"
"Nancy","Ann"
"Nathaniel","Johnathan"
"Patrick","Peter"
"Roger","Rodney"
"Roland","Orlando"
"Rosabella","Rosarita"
"Rosalyn","Rosarita"
"Rudolphus","Ad"
"Sabrina","Serilla"
"Sharon","Cheryl"
"Sylvester","Silver"
"Theresa","Teresa"
"William","Liam"
"Adelaide","Adelia"
"Alice","Elisha"
"Anna","Annette"
"Belinda","Philinda"
"Clarissa","Melinda"
"Dorothy","Dorothea"
"Eleanor","Elenora"
"Genevieve","Virginia"
"Helena","Ella"
"Isabella","Rosabella"
"Joanna","Joanne"
"Katherine","Trina"
"Marianna","Anne"
"Martha","Patricia"
"Maryanne","Anna"
"Melinda","Linda"
"Roland","Reginald"
"Rosabella","Rosalyn"
"Rosalyn","Roseanne"
"Rudolphus","Ado"
"Theresa","Thirsa"
"Adelaide","Elizabeth"
"Alice","Lish"
"Anna","Maryanne"
"Christiana","Kristine"
"Clarissa","Philinda"
"Dorothy","Dorinda"
"Eleanor","Elinamifia"
"Elizabeth","Tess"
"Helena","Elena"
"John","Jackson"
"Katherine","Tina"
"Madeline","Magdalena"
"Margaret","Margaretha"
"Melinda","Philinda"
"Rosalyn","Roseann"
"Theresa","Tessa"
"Alice","Ellis"
"Amelia","Mildred"
"Anna","Christina"
"Dorothy","Doris"
"Eleanor","Elnora"
"Helena","Ellender"
"Isabella","Arabella"
"Jane","Jeanne"
"Katherine","Lena"
"Luann","Anna"
"Margaret","Meta"
"Mary","Moll"
"Rosalyn","Rose"
"Virginia","Jane"
"Alice","Elicia"
"Anna","Antoinette"
"Dorothy","Medora"
"Elizabeth","Eliza"
"Helena","Eleanor"
"Isabella","Rosabella"
"Katherine","Cathleen"
"Linda","Belinda"
"Luann","Louise"
"Lousie","Loretta"
"Margaret","Gretta"
"Rosalyn","Ann"
"Virginia","Genevieve"
"Anna","Roseanne"
"Emeline","Amelia"
"Jane","Jan"
"Joanna","Anna"
"Katherine","Catherine"
"Linda","Melinda"
"Margaret","Rita"
"Mary","Mate"
"Rosalyn","Roz"
"Anna","Hannah"
"Elizabeth","Lisa"
"Jane","Janett"
"Joanna","Hannah"
"John","Johnathan"
"Linda","Philinda"
"Mary","Maura"
"Eleanor","Honora"
"Elizabeth","Lise"
"Jane","Janice"
"Joanna","Suzannah"
"Katherine","Karen"
"Mary","Moira"
"Rosalyn","Roseanna"
"Elizabeth","Lib"
"Jane","Janyce"
"Katherine","Kathryn"
"Mary","Marilyn"
"Rosalyn","Rox"
"Jane","Jayce"
"Katherine","Katherina"
"Margaret","Margaretta"
"Mary","Maria"
"Elizabeth","Bethia"
"Jane","Jc"
"Katherine","Kathe"
"Margaret","Megan"
"Mary","Mariah"
"Rosalyn","Roxanne"
"Jane","Janiece"
"Mary","Marian"
"Rosalyn","Roxanna"
"Rosalyn","Roxane"
"Mary","Marcia"
"Margaret","Mary"
"Mary","Marica"
"Jane","Genevieve"
"Margaret","Margarita"
"Elizabeth","Alice"
"Jane","Virginia"
"Rosalyn","Rosabella"
"Elizabeth","Alisha"
"Jane","Joanna"
"Rosalyn","Rosalyn"
"Mary","Maryanne"
"Rosalyn","Rosarita"
"Mary","Martha"
"Rosalyn","Anna"
"Mary","Margaret"
"Carthaette","Calley"
"Carthaette","Callie"
"Carthaette","Cally"
"Carthaette","Calli"
"Experience","Vangey"
"Experience","Vangie"
"Experience","Vangy"
"Experience","Vangi"
"Greenberry","Peddey"
"Greenberry","Peddie"
"Greenberry","Peddy"
"Greenberry","Peddi"
"Jacqueline","Berrey"
"Jacqueline","Berrie"
"Jacqueline","Berry"
"Jacqueline","Berri"
"Karonhappuck","Jackey"
"Karonhappuck","Jackie"
"Karonhappuck","Jacky"
"Karonhappuck","Jacki"
"Littleberry","Carrey"
"Littleberry","Carrie"
"Littleberry","Carry"
"Littleberry","Carri"
"Maximillian","Berrey"
"Maximillian","Berrie"
"Maximillian","Berry"
"Maximillian","Berri"
"Adelaide","Pokey"
"Adelaide","Pokie"
"Adelaide","Poky"
"Adelaide","Poki"
"Adelbert","Addey"
"Adelbert","Addie"
"Adelbert","Addy"
"Adelbert","Addi"
"Alphinias","Elley"
"Alphinias","Ellie"
"Alphinias","Elly"
"Alphinias","Elli"
"Arabella","Appey"
"Arabella","Appie"
"Arabella","Appy"
"Arabella","Appi"
"Ardeshir","Archey"
"Ardeshir","Archie"
"Ardeshir","Archy"
"Ardeshir","Archi"
"Aristotle","Ardey"
"Aristotle","Ardie"
"Aristotle","Ardy"
"Aristotle","Ardi"
"Augustus","Telley"
"Augustus","Tellie"
"Augustus","Telly"
"Augustus","Telli"
"Bartholomew","Barney"
"Bartholomew","Barnie"
"Bartholomew","Barny"
"Bartholomew","Barni"
"Caldonia","Rickey"
"Caldonia","Rickie"
"Caldonia","Ricky"
"Caldonia","Ricki"
"Calpurnia","Calley"
"Calpurnia","Callie"
"Calpurnia","Cally"
"Calpurnia","Calli"
"Campbell","Calley"
"Campbell","Callie"
"Campbell","Cally"
"Campbell","Calli"
"Carmellia","Lottey"
"Carmellia","Lottie"
"Carmellia","Lotty"
"Carmellia","Lotti"
"Carthaette","Caddey"
"Carthaette","Caddie"
"Carthaette","Caddy"
"Carthaette","Caddi"
"Charlotte","Ettey"
"Charlotte","Ettie"
"Charlotte","Etty"
"Charlotte","Etti"
"Cordelia","Conney"
"Cordelia","Connie"
"Cordelia","Conny"
"Cordelia","Conni"
"Cornelia","Cordey"
"Cornelia","Cordie"
"Cornelia","Cordy"
"Cornelia","Cordi"
"Cornelius","Corney"
"Cornelius","Cornie"
"Cornelius","Corny"
"Cornelius","Corni"
"Deliverance","Daney"
"Deliverance","Danie"
"Deliverance","Dany"
"Deliverance","Dani"
"Demerias","Delley"
"Demerias","Dellie"
"Demerias","Delly"
"Demerias","Delli"
"Euphrosina","Effey"
"Euphrosina","Effie"
"Euphrosina","Effy"
"Euphrosina","Effi"
"Eustacia","Dicey"
"Eustacia","Dicie"
"Eustacia","Dicy"
"Eustacia","Dici"
"Florence","Ferdey"
"Florence","Ferdie"
"Florence","Ferdy"
"Florence","Ferdi"
"Geraldine","Gencey"
"Geraldine","Gencie"
"Geraldine","Gency"
"Geraldine","Genci"
"Greenberry","Gattey"
"Greenberry","Gattie"
"Greenberry","Gatty"
"Greenberry","Gatti"
"Hermione","Hepsey"
"Hermione","Hepsie"
"Hermione","Hepsy"
"Hermione","Hepsi"
"Ignatius","Tensey"
"Ignatius","Tensie"
"Ignatius","Tensy"
"Ignatius","Tensi"
"Isabella","Iggey"
"Isabella","Iggie"
"Isabella","Iggy"
"Isabella","Iggi"
"Jedediah","Jakey"
"Jedediah","Jakie"
"Jedediah","Jaky"
"Jedediah","Jaki"
"Jonathan","Jeremey"
"Jonathan","Jeremie"
"Jonathan","Jeremy"
"Jonathan","Jeremi"
"Lafayette","Kimberley"
"Lafayette","Kimberlie"
"Lafayette","Kimberly"
"Lafayette","Kimberli"
"Laurinda","Dicey"
"Laurinda","Dicie"
"Laurinda","Dicy"
"Laurinda","Dici"
"Lecurgus","Larrey"
"Lecurgus","Larrie"
"Lecurgus","Larry"
"Lecurgus","Larri"
"Lucretia","Lorrey"
"Lucretia","Lorrie"
"Lucretia","Lorry"
"Lucretia","Lorri"
"Madeline","Creasey"
"Madeline","Creasie"
"Madeline","Creasy"
"Madeline","Creasi"
"Margarita","Daisey"
"Margarita","Daisie"
"Margarita","Daisy"
"Margarita","Daisi"
"Melchizedek","Hettey"
"Melchizedek","Hettie"
"Melchizedek","Hetty"
"Melchizedek","Hetti"
"Michelle","Mercey"
"Michelle","Mercie"
"Michelle","Mercy"
"Michelle","Merci"
"Millicent","Mickey"
"Millicent","Mickie"
"Millicent","Micky"
"Millicent","Micki"
"Mindwell","Milley"
"Mindwell","Millie"
"Mindwell","Milly"
"Mindwell","Milli"
"Mortimer","Montey"
"Mortimer","Montie"
"Mortimer","Monty"
"Mortimer","Monti"
"Parthenia","Biddey"
"Parthenia","Biddie"
"Parthenia","Biddy"
"Parthenia","Biddi"
"Patience","Parsuney"
"Patience","Parsunie"
"Patience","Parsuny"
"Patience","Parsuni"
"Penelope","Perrey"
"Penelope","Perrie"
"Penelope","Perry"
"Penelope","Perri"
"Percival","Neppey"
"Percival","Neppie"
"Percival","Neppy"
"Percival","Neppi"
"Pernetta","Melley"
"Pernetta","Mellie"
"Pernetta","Melly"
"Pernetta","Melli"
"Philadelphia","Nettey"
"Philadelphia","Nettie"
"Philadelphia","Netty"
"Philadelphia","Netti"
"Prescott","Humey"
"Prescott","Humie"
"Prescott","Humy"
"Prescott","Humi"
"Randolph","Densey"
"Randolph","Densie"
"Randolph","Densy"
"Randolph","Densi"
"Tennessee","Tempey"
"Tennessee","Tempie"
"Tennessee","Tempy"
"Tennessee","Tempi"
"Theodosia","Tenney"
"Theodosia","Tennie"
"Theodosia","Tenny"
"Theodosia","Tenni"
"Thomasine","Ophey"
"Thomasine","Ophie"
"Thomasine","Ophy"
"Thomasine","Ophi"
"Valentina","Phosey"
"Valentina","Phosie"
"Valentina","Phosy"
"Valentina","Phosi"
"Wilhelmina","Waitey"
"Wilhelmina","Waitie"
"Wilhelmina","Waity"
"Wilhelmina","Waiti"
"Zachariah","Helmey"
"Zachariah","Helmie"
"Zachariah","Helmy"
"Zachariah","Helmi"
"Agatha","Addey"
"Agatha","Addie"
"Agatha","Addy"
"Agatha","Addi"
"Aileen","Addey"
"Aileen","Addie"
"Aileen","Addy"
"Aileen","Addi"
"Almena","Alfey"
"Almena","Alfie"
"Almena","Alfy"
"Almena","Alfi"
"Almina","Alley"
"Almina","Allie"
"Almina","Ally"
"Almina","Alli"
"Almira","Minney"
"Almira","Minnie"
"Almira","Minny"
"Almira","Minni"
"Amanda","Amey"
"Amanda","Amie"
"Amanda","Amy"
"Amanda","Ami"
"Anastasia","Amey"
"Anastasia","Amie"
"Anastasia","Amy"
"Anastasia","Ami"
"Anderson","Stacey"
"Anderson","Stacie"
"Anderson","Stacy"
"Anderson","Staci"
"Andrea","Andey"
"Andrea","Andie"
"Andrea","Andy"
"Andrea","Andi"
"Angela","Andey"
"Angela","Andie"
"Angela","Andy"
"Angela","Andi"
"Antoinette","Toney"
"Antoinette","Tonie"
"Antoinette","Tony"
"Antoinette","Toni"
"Aphrodite","Nettey"
"Aphrodite","Nettie"
"Aphrodite","Netty"
"Aphrodite","Netti"
"Arielle","Baldey"
"Arielle","Baldie"
"Arielle","Baldy"
"Arielle","Baldi"
"Arlene","Arey"
"Arlene","Arie"
"Arlene","Ary"
"Arlene","Ari"
"Armilda","Arrey"
"Armilda","Arrie"
"Armilda","Arry"
"Armilda","Arri"
"Arminda","Milley"
"Arminda","Millie"
"Arminda","Milly"
"Arminda","Milli"
"Arnold","Mindey"
"Arnold","Mindie"
"Arnold","Mindy"
"Arnold","Mindi"
"Arthur","Arney"
"Arthur","Arnie"
"Arthur","Arny"
"Arthur","Arni"
"Asenath","Zaddey"
"Asenath","Zaddie"
"Asenath","Zaddy"
"Asenath","Zaddi"
"Bertha","Benjey"
"Bertha","Benjie"
"Bertha","Benjy"
"Bertha","Benji"
"Bertram","Bertey"
"Bertram","Bertie"
"Bertram","Berty"
"Bertram","Berti"
"Blanche","Beverley"
"Blanche","Beverlie"
"Blanche","Beverly"
"Blanche","Beverli"
"Bradford","Bonney"
"Bradford","Bonnie"
"Bradford","Bonny"
"Bradford","Bonni"
"Broderick","Biddey"
"Broderick","Biddie"
"Broderick","Biddy"
"Broderick","Biddi"
"Caldonia","Bradey"
"Caldonia","Bradie"
"Caldonia","Brady"
"Caldonia","Bradi"
"Calvin","Kissey"
"Calvin","Kissie"
"Calvin","Kissy"
"Calvin","Kissi"
"Candace","Cammey"
"Candace","Cammie"
"Candace","Cammy"
"Candace","Cammi"
"Caroline","Candey"
"Caroline","Candie"
"Caroline","Candy"
"Caroline","Candi"
"Christian","Chesley"
"Christian","Cheslie"
"Christian","Chesly"
"Christian","Chesli"
"Christopher","Crissey"
"Christopher","Crissie"
"Christopher","Crissy"
"Christopher","Crissi"
"Cordelia","Tentey"
"Cordelia","Tentie"
"Cordelia","Tenty"
"Cordelia","Tenti"
"Cornelius","Neeley"
"Cornelius","Neelie"
"Cornelius","Neely"
"Cornelius","Neeli"
"Courtney","Neeley"
"Courtney","Neelie"
"Courtney","Neely"
"Courtney","Neeli"
"Cyrenius","Cindey"
"Cyrenius","Cindie"
"Cyrenius","Cindy"
"Cyrenius","Cindi"
"Deborah","Darey"
"Deborah","Darie"
"Deborah","Dary"
"Deborah","Dari"
"Delores","Dilley"
"Delores","Dillie"
"Delores","Dilly"
"Delores","Dilli"
"Derrick","Denney"
"Derrick","Dennie"
"Derrick","Denny"
"Derrick","Denni"
"Dominic","Desey"
"Dominic","Desie"
"Dominic","Desy"
"Dominic","Desi"
"Egbert","Winney"
"Egbert","Winnie"
"Egbert","Winny"
"Egbert","Winni"
"Eliphalet","Eley"
"Eliphalet","Elie"
"Eliphalet","Ely"
"Eliphalet","Eli"
"Elmira","Bessey"
"Elmira","Bessie"
"Elmira","Bessy"
"Elmira","Bessi"
"Emeline","Manney"
"Emeline","Mannie"
"Emeline","Manny"
"Emeline","Manni"
"Estella","Seney"
"Estella","Senie"
"Estella","Seny"
"Estella","Seni"
"Eudora","Essey"
"Eudora","Essie"
"Eudora","Essy"
"Eudora","Essi"
"Eugene","Dosey"
"Eugene","Dosie"
"Eugene","Dosy"
"Eugene","Dosi"
"Eustacia","Rosey"
"Eustacia","Rosie"
"Eustacia","Rosy"
"Eustacia","Rosi"
"Evaline","Stacey"
"Evaline","Stacie"
"Evaline","Stacy"
"Evaline","Staci"
"Genevieve","Gabbey"
"Genevieve","Gabbie"
"Genevieve","Gabby"
"Genevieve","Gabbi"
"George","Jinsey"
"George","Jinsie"
"George","Jinsy"
"George","Jinsi"
"Geraldine","Jerrey"
"Geraldine","Jerrie"
"Geraldine","Jerry"
"Geraldine","Jerri"
"Gertrude","Gerrey"
"Gertrude","Gerrie"
"Gertrude","Gerry"
"Gertrude","Gerri"
"Gilbert","Gertey"
"Gilbert","Gertie"
"Gilbert","Gerty"
"Gilbert","Gerti"
"Gregory","Glorey"
"Gregory","Glorie"
"Gregory","Glory"
"Gregory","Glori"
"Hamilton","Wendey"
"Hamilton","Wendie"
"Hamilton","Wendy"
"Hamilton","Wendi"
"Helena","Hattey"
"Helena","Hattie"
"Helena","Hatty"
"Helena","Hatti"
"Hester","Hermey"
"Hester","Hermie"
"Hester","Hermy"
"Hester","Hermi"
"Hopkins","Honey"
"Hopkins","Honie"
"Hopkins","Hony"
"Hopkins","Honi"
"Isidora","Zadey"
"Isidora","Zadie"
"Isidora","Zady"
"Isidora","Zadi"
"Jacqueline","Izzey"
"Jacqueline","Izzie"
"Jacqueline","Izzy"
"Jacqueline","Izzi"
"Jehiel","Sonney"
"Jehiel","Sonnie"
"Jehiel","Sonny"
"Jehiel","Sonni"
"Jennifer","Jessey"
"Jennifer","Jessie"
"Jennifer","Jessy"
"Jennifer","Jessi"
"Jeremiah","Jenney"
"Jeremiah","Jennie"
"Jeremiah","Jenny"
"Jeremiah","Jenni"
"Jerita","Jerrey"
"Jerita","Jerrie"
"Jerita","Jerry"
"Jerita","Jerri"
"Joseph","Johnney"
"Joseph","Johnnie"
"Joseph","Johnny"
"Joseph","Johnni"
"Joshua","Pheney"
"Joshua","Phenie"
"Joshua","Pheny"
"Joshua","Pheni"
"Judson","Judey"
"Judson","Judie"
"Judson","Judy"
"Judson","Judi"
"Kimberly","Kezzey"
"Kimberly","Kezzie"
"Kimberly","Kezzy"
"Kimberly","Kezzi"
"Lafayette","Kymberley"
"Lafayette","Kymberlie"
"Lafayette","Kymberly"
"Lafayette","Kymberli"
"Laodicia","Montey"
"Laodicia","Montie"
"Laodicia","Monty"
"Laodicia","Monti"
"Laverne","Laurey"
"Laverne","Laurie"
"Laverne","Laury"
"Laverne","Lauri"
"Lawrence","Viney"
"Lawrence","Vinie"
"Lawrence","Viny"
"Lawrence","Vini"
"Lewvisa","Lettey"
"Lewvisa","Lettie"
"Lewvisa","Letty"
"Lewvisa","Letti"
"Libuse","Vicey"
"Libuse","Vicie"
"Libuse","Vicy"
"Libuse","Vici"
"Lucretia","Cindey"
"Lucretia","Cindie"
"Lucretia","Cindy"
"Lucretia","Cindi"
"Magdelina","Maddey"
"Magdelina","Maddie"
"Magdelina","Maddy"
"Magdelina","Maddi"
"Malcolm","Halley"
"Malcolm","Hallie"
"Malcolm","Hally"
"Malcolm","Halli"
"Martha","Marey"
"Martha","Marie"
"Martha","Mary"
"Martha","Mari"
"Marvin","Martey"
"Marvin","Martie"
"Marvin","Marty"
"Marvin","Marti"
"Maurice","Marey"
"Maurice","Marie"
"Maurice","Mary"
"Maurice","Mari"
"Mavine","Maurey"
"Mavine","Maurie"
"Mavine","Maury"
"Mavine","Mauri"
"Maxine","Maverey"
"Maxine","Maverie"
"Maxine","Mavery"
"Maxine","Maveri"
"Melvina","Lodey"
"Melvina","Lodie"
"Melvina","Lody"
"Melvina","Lodi"
"Michelle","Mickey"
"Michelle","Mickie"
"Michelle","Micky"
"Michelle","Micki"
"Mildred","Shelley"
"Mildred","Shellie"
"Mildred","Shelly"
"Mildred","Shelli"
"Minerva","Missey"
"Minerva","Missie"
"Minerva","Missy"
"Minerva","Missi"
"Miriam","Mandey"
"Miriam","Mandie"
"Miriam","Mandy"
"Miriam","Mandi"
"Mitchell","Marey"
"Mitchell","Marie"
"Mitchell","Mary"
"Mitchell","Mari"
"Nathaniel","Nettey"
"Nathaniel","Nettie"
"Nathaniel","Netty"
"Nathaniel","Netti"
"Nicolena","Nickey"
"Nicolena","Nickie"
"Nicolena","Nicky"
"Nicolena","Nicki"
"Ninell","Nikkey"
"Ninell","Nikkie"
"Ninell","Nikky"
"Ninell","Nikki"
"Norbert","Nettey"
"Norbert","Nettie"
"Norbert","Netty"
"Norbert","Netti"
"Olivia","Olley"
"Olivia","Ollie"
"Olivia","Olly"
"Olivia","Olli"
"Othello","Ossey"
"Othello","Ossie"
"Othello","Ossy"
"Othello","Ossi"
"Patience","Pasooney"
"Patience","Pasoonie"
"Patience","Pasoony"
"Patience","Pasooni"
"Patricia","Pattey"
"Patricia","Pattie"
"Patricia","Patty"
"Patricia","Patti"
"Patrick","Patsey"
"Patrick","Patsie"
"Patrick","Patsy"
"Patrick","Patsi"
"Paulina","Paddey"
"Paulina","Paddie"
"Paulina","Paddy"
"Paulina","Paddi"
"Percival","Penney"
"Percival","Pennie"
"Percival","Penny"
"Percival","Penni"
"Permelia","Percey"
"Permelia","Percie"
"Permelia","Percy"
"Permelia","Perci"
"Pharaba","Milley"
"Pharaba","Millie"
"Pharaba","Milly"
"Pharaba","Milli"
"Pheney","Ferbey"
"Pheney","Ferbie"
"Pheney","Ferby"
"Pheney","Ferbi"
"Phineas","Peney"
"Phineas","Penie"
"Phineas","Peny"
"Phineas","Peni"
"Pleasant","Finney"
"Pleasant","Finnie"
"Pleasant","Finny"
"Pleasant","Finni"
"Quince","Prudey"
"Quince","Prudie"
"Quince","Prudy"
"Quince","Prudi"
"Regina","Beckey"
"Regina","Beckie"
"Regina","Becky"
"Regina","Becki"
"Relief","Reggey"
"Relief","Reggie"
"Relief","Reggy"
"Relief","Reggi"
"Richard","Rhodey"
"Richard","Rhodie"
"Richard","Rhody"
"Richard","Rhodi"
"Sheldon","Morey"
"Sheldon","Morie"
"Sheldon","Mory"
"Sheldon","Mori"
"Sheridan","Shelley"
"Sheridan","Shellie"
"Sheridan","Shelly"
"Sheridan","Shelli"
"Susannah","Sulley"
"Susannah","Sullie"
"Susannah","Sully"
"Susannah","Sulli"
"Temperance","Tabbey"
"Temperance","Tabbie"
"Temperance","Tabby"
"Temperance","Tabbi"
"Terrance","Tilley"
"Terrance","Tillie"
"Terrance","Tilly"
"Terrance","Tilli"
"Timothy","Tilley"
"Timothy","Tillie"
"Timothy","Tilly"
"Timothy","Tilli"
"Vanessa","Valley"
"Vanessa","Vallie"
"Vanessa","Vally"
"Vanessa","Valli"
"Veronica","Nicey"
"Veronica","Nicie"
"Veronica","Nicy"
"Veronica","Nici"
"Victoria","Frankey"
"Victoria","Frankie"
"Victoria","Franky"
"Victoria","Franki"
"Vincent","Torrey"
"Vincent","Torrie"
"Vincent","Torry"
"Vincent","Torri"
"Webster","Walley"
"Webster","Wallie"
"Webster","Wally"
"Webster","Walli"
"Woodrow","Freddey"
"Woodrow","Freddie"
"Woodrow","Freddy"
"Woodrow","Freddi"
"Abijah","Abbey"
"Abijah","Abbie"
"Abijah","Abby"
"Abijah","Abbi"
"Adaline","Abbey"
"Adaline","Abbie"
"Adaline","Abby"
"Adaline","Abbi"
"Aileen","Aggey"
"Aileen","Aggie"
"Aileen","Aggy"
"Aileen","Aggi"
"Alanson","Alley"
"Alanson","Allie"
"Alanson","Ally"
"Alanson","Alli"
"Aleva","Richey"
"Aleva","Richie"
"Aleva","Richy"
"Aleva","Richi"
"Alexandria","Andey"
"Alexandria","Andie"
"Alexandria","Andy"
"Alexandria","Andi"
"Amanda","Molley"
"Amanda","Mollie"
"Amanda","Molly"
"Amanda","Molli"
"Amos","Emiley"
"Amos","Emilie"
"Amos","Emily"
"Amos","Emili"
"Andrea","Sonney"
"Andrea","Sonnie"
"Andrea","Sonny"
"Andrea","Sonni"
"Andrew","Andey"
"Andrew","Andie"
"Andrew","Andy"
"Andrew","Andi"
"Arabella","Quilley"
"Arabella","Quillie"
"Arabella","Quilly"
"Arabella","Quilli"
"Armena","Arley"
"Armena","Arlie"
"Armena","Arly"
"Armena","Arli"
"Augustus","Aggey"
"Augustus","Aggie"
"Augustus","Aggy"
"Augustus","Aggi"
"Azariah","Rilley"
"Azariah","Rillie"
"Azariah","Rilly"
"Azariah","Rilli"
"Bartholomew","Berrey"
"Bartholomew","Berrie"
"Bartholomew","Berry"
"Bartholomew","Berri"
"Bedelia","Trissey"
"Bedelia","Trissie"
"Bedelia","Trissy"
"Bedelia","Trissi"
"Benjamin","Benney"
"Benjamin","Bennie"
"Benjamin","Benny"
"Benjamin","Benni"
"Bertha","Benney"
"Bertha","Bennie"
"Bertha","Benny"
"Bertha","Benni"
"Beverly","Bridey"
"Beverly","Bridie"
"Beverly","Bridy"
"Beverly","Bridi"
"Brian","Bradley"
"Brian","Bradlie"
"Brian","Bradly"
"Brian","Bradli"
"Broderick","Bridey"
"Broderick","Bridie"
"Broderick","Bridy"
"Broderick","Bridi"
"Caleb","Brodey"
"Caleb","Brodie"
"Caleb","Brody"
"Caleb","Brodi"
"Camille","Ronney"
"Camille","Ronnie"
"Camille","Ronny"
"Camille","Ronni"
"Candace","Milley"
"Candace","Millie"
"Candace","Milly"
"Candace","Milli"
"Caroline","Dacey"
"Caroline","Dacie"
"Caroline","Dacy"
"Caroline","Daci"
"Cecilia","Kasey"
"Cecilia","Kasie"
"Cecilia","Kasy"
"Cecilia","Kasi"
"Cedrick","Cissey"
"Cedrick","Cissie"
"Cedrick","Cissy"
"Cedrick","Cissi"
"Celinda","Lessey"
"Celinda","Lessie"
"Celinda","Lessy"
"Celinda","Lessi"
"Charles","Lindey"
"Charles","Lindie"
"Charles","Lindy"
"Charles","Lindi"
"Chesley","Lettey"
"Chesley","Lettie"
"Chesley","Letty"
"Chesley","Letti"
"Christopher","Christey"
"Christopher","Christie"
"Christopher","Christy"
"Christopher","Christi"
"Conrad","Toney"
"Conrad","Tonie"
"Conrad","Tony"
"Conrad","Toni"
"Cordelia","Conney"
"Cordelia","Connie"
"Cordelia","Conny"
"Cordelia","Conni"
"Daphne","Danney"
"Daphne","Dannie"
"Daphne","Danny"
"Daphne","Danni"
"Darlene","Daphey"
"Darlene","Daphie"
"Darlene","Daphy"
"Darlene","Daphi"
"David","Darrey"
"David","Darrie"
"David","Darry"
"David","Darri"
"Deborah","Davey"
"Deborah","Davie"
"Deborah","Davy"
"Deborah","Davi"
"Delbert","Debbey"
"Delbert","Debbie"
"Delbert","Debby"
"Delbert","Debbi"
"Demerias","Dodey"
"Demerias","Dodie"
"Demerias","Dody"
"Demerias","Dodi"
"Dorothy","Donney"
"Dorothy","Donnie"
"Dorothy","Donny"
"Dorothy","Donni"
"Duane","Dolley"
"Duane","Dollie"
"Duane","Dolly"
"Duane","Dolli"
"Ebenezer","Erney"
"Ebenezer","Ernie"
"Ebenezer","Erny"
"Ebenezer","Erni"
"Edith","Ebbey"
"Edith","Ebbie"
"Edith","Ebby"
"Edith","Ebbi"
"Edmund","Dicey"
"Edmund","Dicie"
"Edmund","Dicy"
"Edmund","Dici"
"Eleanor","Lainey"
"Eleanor","Lainie"
"Eleanor","Lainy"
"Eleanor","Laini"
"Elijah","Eley"
"Elijah","Elie"
"Elijah","Ely"
"Elijah","Eli"
"Elizabeth","Falley"
"Elizabeth","Fallie"
"Elizabeth","Fally"
"Elizabeth","Falli"
"Emanuel","Elley"
"Emanuel","Ellie"
"Emanuel","Elly"
"Emanuel","Elli"
"Eric","Emmey"
"Eric","Emmie"
"Eric","Emmy"
"Eric","Emmi"
"Eugenia","Dossey"
"Eugenia","Dossie"
"Eugenia","Dossy"
"Eugenia","Dossi"
"Francis","Fanney"
"Francis","Fannie"
"Francis","Fanny"
"Francis","Fanni"
"Frederica","Frankey"
"Frederica","Frankie"
"Frederica","Franky"
"Frederica","Franki"
